Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
Chronic cholestasis,itching, nausea, yellowish_skin, vomiting,,,,
Drug Reaction,itching, skin_rash, burning_micturition, stomach_pain,,,,
Drug Reaction,itching, burning_micturition, stomach_pain, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, burning_micturition, stomach_pain,,,,
Drug Reaction, skin_rash, burning_micturition, stomach_pain, spotting_ urination,,,,
Drug Reaction,itching, burning_micturition, stomach_pain, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,
Drug Reaction,itching, skin_rash, burning_micturition, stomach_pain,,,,
Peptic ulcer diseae, abdominal_pain, passage_of_gases, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, passage_of_gases, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, loss_of_appetite, passage_of_gases,,,,
Peptic ulcer diseae, abdominal_pain, passage_of_gases, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, passage_of_gases, vomiting,,,,
Peptic ulcer diseae, passage_of_gases, indigestion, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, loss_of_appetite, vomiting,,,,
Peptic ulcer diseae, abdominal_pain, indigestion, loss_of_appetite, vomiting,,,,
AIDS, extra_marital_contacts, patches_in_throat, muscle_wasting, high_fever,,,,
AIDS,, extra_marital_contacts, patches_in_throat, high_fever,,,,
AIDS,, extra_marital_contacts, muscle_wasting, high_fever,,,,
AIDS, extra_marital_contacts,, patches_in_throat, muscle_wasting,,,,
AIDS,, patches_in_throat, muscle_wasting, high_fever,,,,
AIDS, extra_marital_contacts, patches_in_throat, muscle_wasting, high_fever,,,,
AIDS, extra_marital_contacts, patches_in_throat, muscle_wasting, high_fever,,,,
AIDS,, extra_marital_contacts, patches_in_throat, high_fever,,,,
AIDS,, extra_marital_contacts, muscle_wasting, high_fever,,,,
AIDS,, patches_in_throat, muscle_wasting, high_fever,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Diabetes , irregular_sugar_level, restlessness, weight_loss, lethargy,,,,
Diabetes , irregular_sugar_level, fatigue, restlessness, lethargy,,,,
Diabetes , irregular_sugar_level, fatigue, weight_loss, lethargy,,,,
Diabetes , irregular_sugar_level, fatigue, weight_loss, restlessness,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Diabetes , fatigue, weight_loss, restlessness, lethargy,,,,
Gastroenteritis, dehydration, sunken_eyes, diarrhoea, vomiting,,,,
Gastroenteritis, dehydration, sunken_eyes, diarrhoea, vomiting,,,,
Gastroenteritis, dehydration, sunken_eyes,, diarrhoea,,,,
Gastroenteritis, dehydration, diarrhoea,, vomiting,,,,
Gastroenteritis,, sunken_eyes, diarrhoea, vomiting,,,,
Gastroenteritis, dehydration, sunken_eyes,, vomiting,,,,
Gastroenteritis, dehydration, sunken_eyes, diarrhoea, vomiting,,,,
Gastroenteritis, dehydration, sunken_eyes,, diarrhoea,,,,
Gastroenteritis, dehydration, diarrhoea,, vomiting,,,,
Gastroenteritis,, sunken_eyes, diarrhoea, vomiting,,,,
Bronchial Asthma, breathlessness, fatigue, high_fever, cough,,,,
Bronchial Asthma, family_history, breathlessness, high_fever, cough,,,,
Bronchial Asthma, family_history, breathlessness, fatigue, high_fever,,,,
Bronchial Asthma, family_history, breathlessness, fatigue, cough,,,,
Bronchial Asthma, family_history, fatigue, high_fever, cough,,,,
Bronchial Asthma, breathlessness, fatigue, high_fever, cough,,,,
Bronchial Asthma, breathlessness, fatigue, high_fever, cough,,,,
Bronchial Asthma, breathlessness, fatigue, high_fever, cough,,,,
Bronchial Asthma, family_history, breathlessness, high_fever, cough,,,,
Bronchial Asthma, family_history, breathlessness, fatigue, high_fever,,,,
Hypertension , loss_of_balance, dizziness, chest_pain, headache,,,,
Hypertension , lack_of_concentration, loss_of_balance, dizziness, chest_pain,,,,
Hypertension , lack_of_concentration, loss_of_balance, dizziness, headache,,,,
Hypertension , lack_of_concentration, loss_of_balance, chest_pain, headache,,,,
Hypertension , lack_of_concentration, dizziness, chest_pain, headache,,,,
Hypertension , loss_of_balance, dizziness, chest_pain, headache,,,,
Hypertension , loss_of_balance, dizziness, chest_pain, headache,,,,
Hypertension , lack_of_concentration, loss_of_balance, dizziness, chest_pain,,,,
Hypertension , lack_of_concentration, loss_of_balance, dizziness, headache,,,,
Hypertension , lack_of_concentration, loss_of_balance, chest_pain, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Migraine, blurred_and_distorted_vision, indigestion, excessive_hunger, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, excessive_hunger, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, excessive_hunger,,,,
Migraine, acidity, indigestion, excessive_hunger, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Migraine, blurred_and_distorted_vision, acidity, indigestion, headache,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, dizziness, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, dizziness, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, loss_of_balance, dizziness,,,,
Cervical spondylosis, neck_pain, loss_of_balance, dizziness, back_pain,,,,
Cervical spondylosis, weakness_in_limbs, loss_of_balance, dizziness, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, loss_of_balance, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, dizziness, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, dizziness, back_pain,,,,
Cervical spondylosis, neck_pain, weakness_in_limbs, loss_of_balance, dizziness,,,,
Cervical spondylosis, neck_pain, loss_of_balance, dizziness, back_pain,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side, altered_sensorium, headache, vomiting,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side, altered_sensorium, headache, vomiting,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side,, altered_sensorium, headache,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side,, altered_sensorium, vomiting,,,,
Paralysis (brain hemorrhage), altered_sensorium,, headache, vomiting,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side,, headache, vomiting,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side, altered_sensorium, headache, vomiting,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side,, altered_sensorium, headache,,,,
Paralysis (brain hemorrhage), weakness_of_one_body_side,, altered_sensorium, vomiting,,,,
Paralysis (brain hemorrhage), altered_sensorium,, headache, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Jaundice, high_fever, fatigue, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, high_fever,,,,
Jaundice,itching, high_fever, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, high_fever, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Jaundice,itching, fatigue, weight_loss, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Malaria, sweating, high_fever, headache, vomiting,,,,
Malaria, chills, sweating, high_fever, headache,,,,
Malaria, chills, sweating, headache, vomiting,,,,
Malaria, chills, high_fever, headache, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Malaria, chills, sweating, high_fever, vomiting,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Chicken pox, skin_rash, fatigue, high_fever, lethargy,,,,
Chicken pox,itching, fatigue, high_fever, lethargy,,,,
Chicken pox,itching, skin_rash, lethargy, high_fever,,,,
Chicken pox,itching, skin_rash, fatigue, high_fever,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Chicken pox,itching, skin_rash, fatigue, lethargy,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Dengue, chills, fatigue, joint_pain, vomiting,,,,
Dengue, skin_rash, fatigue, joint_pain, vomiting,,,,
Dengue, chills, skin_rash, fatigue, vomiting,,,,
Dengue, chills, skin_rash, fatigue, joint_pain,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Dengue, chills, skin_rash, joint_pain, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, vomiting,,,,
Typhoid, chills, fatigue, high_fever, headache,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, nausea, dark_urine, yellowish_skin, vomiting,,,,
hepatitis A, nausea, dark_urine, yellowish_skin, joint_pain,,,,
hepatitis A, nausea, dark_urine, joint_pain, vomiting,,,,
hepatitis A, nausea, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
hepatitis A, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B, dark_urine, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B,itching, dark_urine, yellowish_skin, lethargy,,,,
Hepatitis B,itching, dark_urine, yellowish_skin, fatigue,,,,
Hepatitis B,itching, dark_urine, fatigue, lethargy,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis B,itching, yellowish_skin, fatigue, lethargy,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, yellowing_of_eyes,,,,
Hepatitis C, nausea, yellowing_of_eyes, loss_of_appetite, fatigue,,,,
Hepatitis C, loss_of_appetite, yellowish_skin, fatigue, yellowing_of_eyes,,,,
Hepatitis C, nausea, yellowing_of_eyes, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis C, nausea, loss_of_appetite, yellowish_skin, fatigue,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis D, dark_urine, yellowish_skin, fatigue, vomiting,,,,
Hepatitis D, dark_urine, yellowish_skin, fatigue, joint_pain,,,,
Hepatitis D, dark_urine, yellowish_skin, joint_pain, vomiting,,,,
Hepatitis D, dark_urine, fatigue, joint_pain, vomiting,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis D, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Hepatitis E, yellowish_skin, fatigue, high_fever, vomiting,,,,
Hepatitis E, yellowish_skin, fatigue, high_fever, joint_pain,,,,
Hepatitis E, yellowish_skin, high_fever, joint_pain, vomiting,,,,
Hepatitis E, yellowish_skin, fatigue, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Hepatitis E, fatigue, high_fever, joint_pain, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, distention_of_abdomen,,,,
Alcoholic hepatitis, abdominal_pain, swelling_of_stomach, distention_of_abdomen, vomiting,,,,
Alcoholic hepatitis, swelling_of_stomach, yellowish_skin, distention_of_abdomen, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, distention_of_abdomen, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Alcoholic hepatitis, abdominal_pain, yellowish_skin, swelling_of_stomach, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Tuberculosis, cough, fatigue, weight_loss, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, cough,,,,
Tuberculosis, chills, cough, weight_loss, vomiting,,,,
Tuberculosis, chills, cough, fatigue, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Tuberculosis, chills, fatigue, weight_loss, vomiting,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, high_fever, cough,,,,
Common Cold, high_fever, fatigue, continuous_sneezing, cough,,,,
Common Cold, high_fever, chills, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, continuous_sneezing, high_fever,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Common Cold, chills, fatigue, continuous_sneezing, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Pneumonia, breathlessness, fatigue, high_fever, cough,,,,
Pneumonia, chills, breathlessness, high_fever, cough,,,,
Pneumonia, chills, breathlessness, fatigue, high_fever,,,,
Pneumonia, chills, breathlessness, fatigue, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Pneumonia, chills, fatigue, high_fever, cough,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, irritation_in_anus, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, irritation_in_anus, constipation, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, irritation_in_anus, constipation, pain_during_bowel_movements, bloody_stool,,,,
Dimorphic hemmorhoids, irritation_in_anus, constipation, pain_during_bowel_movements, pain_in_anal_region,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Dimorphic hemmorhoids, constipation, pain_during_bowel_movements, bloody_stool, pain_in_anal_region,,,,
Heart attack, sweating, breathlessness, chest_pain, vomiting,,,,
Heart attack, sweating, breathlessness, chest_pain, vomiting,,,,
Heart attack,, sweating, breathlessness, chest_pain,,,,
Heart attack,, sweating, chest_pain, vomiting,,,,
Heart attack,, breathlessness, chest_pain, vomiting,,,,
Heart attack,, sweating, breathlessness, vomiting,,,,
Heart attack, sweating, breathlessness, chest_pain, vomiting,,,,
Heart attack,, sweating, breathlessness, chest_pain,,,,
Heart attack,, sweating, chest_pain, vomiting,,,,
Heart attack,, breathlessness, chest_pain, vomiting,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Varicose veins, bruising, obesity, cramps, swollen_legs,,,,
Varicose veins, bruising, obesity, fatigue, swollen_legs,,,,
Varicose veins, obesity, swollen_legs, fatigue, cramps,,,,
Varicose veins, bruising, swollen_legs, fatigue, cramps,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Varicose veins, bruising, obesity, fatigue, cramps,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, weight_gain, lethargy,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, weight_gain, lethargy,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, lethargy,,,,
Hypothyroidism, mood_swings, fatigue, lethargy, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, fatigue, lethargy, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, weight_gain,,,,
Hypothyroidism, cold_hands_and_feets, mood_swings, fatigue, weight_gain,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, sweating, mood_swings, weight_loss, restlessness,,,,
Hyperthyroidism, sweating, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, mood_swings, sweating, fatigue, restlessness,,,,
Hyperthyroidism, mood_swings, sweating, fatigue, weight_loss,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hyperthyroidism, mood_swings, fatigue, weight_loss, restlessness,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Hypoglycemia, sweating, fatigue, headache, anxiety,,,,
Hypoglycemia, anxiety, sweating, headache, vomiting,,,,
Hypoglycemia, sweating, fatigue, headache, vomiting,,,,
Hypoglycemia, anxiety, fatigue, headache, vomiting,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Hypoglycemia, anxiety, sweating, fatigue, vomiting,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, swelling_joints, knee_pain,,,,
Osteoarthristis, hip_joint_pain, swelling_joints, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, swelling_joints, joint_pain, hip_joint_pain,,,,
Osteoarthristis, neck_pain, swelling_joints, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Osteoarthristis, neck_pain, hip_joint_pain, joint_pain, knee_pain,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, painful_walking,,,,
Arthritis, movement_stiffness, swelling_joints, painful_walking, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, painful_walking, muscle_weakness,,,,
Arthritis, stiff_neck, swelling_joints, painful_walking, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
Arthritis, stiff_neck, movement_stiffness, swelling_joints, muscle_weakness,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, loss_of_balance, headache,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, loss_of_balance, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, spinning_movements, loss_of_balance, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, loss_of_balance, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, spinning_movements, headache, vomiting,,,,
(vertigo) Paroymsal  Positional Vertigo, nausea, loss_of_balance, headache, vomiting,,,,
Acne, skin_rash, blackheads, scurring, pus_filled_pimples,,,,
Acne, skin_rash, blackheads, scurring, pus_filled_pimples,,,,
Acne,, blackheads, scurring, pus_filled_pimples,,,,
Acne,, skin_rash, blackheads, scurring,,,,
Acne,, skin_rash, scurring, pus_filled_pimples,,,,
Acne,, skin_rash, blackheads, pus_filled_pimples,,,,
Acne, skin_rash, blackheads, scurring, pus_filled_pimples,,,,
Acne,, skin_rash, blackheads, pus_filled_pimples,,,,
Acne,, skin_rash, scurring, pus_filled_pimples,,,,
Acne,, skin_rash, blackheads, scurring,,,,
Urinary tract infection, foul_smell_of urine, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Urinary tract infection, foul_smell_of urine, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Urinary tract infection,, bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine,,,,
Urinary tract infection,, burning_micturition, continuous_feel_of_urine, foul_smell_of urine,,,,
Urinary tract infection,, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Urinary tract infection,, foul_smell_of urine, burning_micturition, bladder_discomfort,,,,
Urinary tract infection, foul_smell_of urine, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Urinary tract infection,, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Urinary tract infection,, bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine,,,,
Urinary tract infection,, burning_micturition, continuous_feel_of_urine, bladder_discomfort,,,,
Psoriasis, skin_peeling, skin_rash, silver_like_dusting, joint_pain,,,,
Psoriasis, skin_peeling, skin_rash, silver_like_dusting, joint_pain,,,,
Psoriasis, skin_peeling, silver_like_dusting, joint_pain, small_dents_in_nails,,,,
